flat_type,flat_price,location,buildup_area_sqft,price_per_sqft,age_of_property,new_age,which_floor,furnishing,carpet_area,bedrooms,bathrooms,balcony,parking
1 BHK Flat,0.73,Mira Road East,419.0,17500.0,1 BHK,,Lowerof 40 floors,Semi Furnished,,2.0,,0.0,no
1 BHK Flat,0.73,Mira Road East,470.0,15600.0,1 BHK,,Lowerof 15 floors,Semi Furnished,,2.0,,0.0,no
1 BHK Flat,0.71,Mira Road East,675.0,10450.0,Ready to move,,unknown,,470.0,1.0,2.0,2.0,no
2 BHK Flat,2.3,Kanjurmarg East,897.0,25640.0,1 Years Old,1.0,Lowerof 50 floors,Semi Furnished,797.0,2.0,1.0,0.0,Yes
1 BHK Flat,0.57,Mira Road East,639.0,8920.0,2 Year Old,2.0,Higherof 22 floors,Unfurnished,439.0,1.0,2.0,3.0,no
1 BHK Flat,0.73,Mira Road East,456.0,16000.0,Ready to move,,unknown,,456.0,1.0,2.0,1.0,no
2 BHK Flat,1.02,Mira Road East,663.0,15400.0,2 BHK,,Higherof 26 floors,Semi Furnished,663.0,2.0,3.0,0.0,no
2 BHK Flat,0.97,Bhayandar East,1065.0,9100.0,Ready to move,,unknown,,646.0,2.0,2.0,3.0,no
2 BHK Flat,0.94,Mira Road East,1150.0,8189.999999999999,Ready to move,,unknown,,720.0,2.0,2.0,3.0,no
1 BHK Flat,0.57,Mira Road East,695.0,8189.999999999999,Ready to move,,unknown,,390.0,1.0,2.0,0.0,no
2 BHK Flat,0.91,Bhayandar East,995.0,9140.0,Ready to move,,unknown,,595.0,2.0,2.0,0.0,Yes
2 BHK Flat,0.96,Mira Road East,1060.0,9050.0,Ready to move,,unknown,,647.0,2.0,2.0,0.0,no
2 BHK Flat,1.0,Mira Road East,1050.0,9550.0,2 BHK,,Higherof 29 floors,Semi Furnished,647.0,2.0,2.0,0.0,no
2 BHK Flat,0.99,Mira Road East,1040.0,9560.0,2 BHK,,Middleof 26 floors,Semi Furnished,646.0,2.0,2.0,0.0,no
3 BHK Flat,1.49,Mira Road East,931.0,16000.0,Ready to move,,unknown,,931.0,3.0,3.0,0.0,no
2 BHK Flat,1.68,Kandivali East,890.0,18880.0,Ready to move,,unknown,,770.0,2.0,2.0,0.0,Yes
1 BHK Flat,0.69,Mira Road East,755.0,9110.0,1 BHK,,Middleof 24 floors,Semi Furnished,450.0,1.0,2.0,0.0,no
3 BHK Flat,3.69,Chembur,1300.0,28380.0,3 BHK,,Middleof 11 floors,Unfurnished,921.0,3.0,3.0,0.0,Yes
2 BHK Flat,2.1,Sion,532.0,39470.0,2 BHK,,Higherof 29 floors,Unfurnished,532.0,2.0,2.0,0.0,Yes
2 BHK Flat,1.57,Malad East,585.0,26840.0,Ready to move,,unknown,,485.0,2.0,2.0,0.0,Yes
2 BHK Flat,1.56,Malad East,585.0,26670.0,Ready to move,,unknown,,485.0,2.0,2.0,0.0,Yes
2 BHK Flat,3.7,Bandra West,1480.0,25000.0,1 Years Old,1.0,Middleof 10 floors,,740.0,2.0,2.0,0.0,Yes
6 BHK Flat,18.0,Bandra West,2600.0,69230.0,1 Years Old,1.0,Middleof 23 floors,Unfurnished,,4.0,2.0,,Yes
1 BHK Flat,1.02,Kanjurmarg East,400.0,25500.0,1 BHK,,Lowerof 47 floors,Semi Furnished,373.0,1.0,2.0,1.0,Yes
